dataset_name,model,accuracy_baseline,precision_baseline,recall_baseline,f1_baseline,auc_baseline,accuracy_tfidf,precision_tfidf,recall_tfidf,f1_tfidf,auc_tfidf,text_branch,delta_accuracy,relative_delta_accuracy,delta_precision,relative_delta_precision,delta_recall,relative_delta_recall,delta_f1,relative_delta_f1,delta_auc,relative_delta_auc,improved_f1,improved_auc
cm1,rf,0.8811881188118812,0.3333333333333333,0.2,0.25,0.6115384615384616,0.88,0.3333333333333333,0.2,0.25,0.53,tfidf,-0.0011881188118811892,-0.0013483146067415743,0.0,0.0,0.0,0.0,0.0,0.0,-0.08153846153846156,-0.13333333333333336,False,False
cm1,xgb,0.8811881188118812,0.3333333333333333,0.2,0.25,0.5879120879120879,0.86,0.1666666666666666,0.1,0.125,0.4922222222222222,tfidf,-0.021188118811881207,-0.02404494382022474,-0.1666666666666667,-0.5000000000000002,-0.1,-0.5,-0.125,-0.5,-0.0956898656898657,-0.16276220145379025,False,False
cm1,lgbm,0.8514851485148515,0.2222222222222222,0.2,0.2105263157894736,0.6494505494505495,0.86,0.1666666666666666,0.1,0.125,0.5188888888888888,tfidf,0.008514851485148522,0.010000000000000009,-0.05555555555555561,-0.2500000000000003,-0.1,-0.5,-0.08552631578947359,-0.4062499999999997,-0.13056166056166063,-0.20103402895281078,False,False
jm1,rf,0.839894019682059,0.4941860465116279,0.2019002375296912,0.2866779089376054,0.7249382647391933,0.8341537296478606,0.4484848484848485,0.175771971496437,0.2525597269624573,0.7095086773234042,tfidf,-0.005740290034198403,-0.006834540905972141,-0.04570119802677941,-0.09247771836007128,-0.02612826603325419,-0.12941176470588253,-0.0341181819751481,-0.11901224653684012,-0.015429587415789148,-0.021284001916135793,False,False
jm1,xgb,0.8429220287660864,0.5306122448979592,0.1235154394299287,0.2003853564547206,0.7183455057050975,0.8371828852707308,0.4608695652173913,0.1258907363420427,0.1977611940298507,0.7187691254199567,tfidf,-0.0057391434953555365,-0.006808629148957937,-0.06974267968056791,-0.13143812709030106,0.0023752969121140083,0.01923076923076919,-0.0026241624248699025,-0.01309557979334115,0.0004236197148592691,0.0005897158282398689,False,True
jm1,lgbm,0.8429220287660864,0.5272727272727272,0.1377672209026128,0.2184557438794727,0.7080234984348279,0.8402120408936009,0.4957264957264957,0.1377672209026128,0.2156133828996282,0.7167800817444523,tfidf,-0.002709987872485442,-0.003214992348049635,-0.03154623154623154,-0.059829059829059825,0.0,0.0,-0.0028423609798444993,-0.013011152416357148,0.008756583309624366,0.012367645041417212,False,True
kc1,rf,0.8581560283687943,0.5555555555555556,0.3846153846153846,0.4545454545454545,0.7870863773098411,0.8578199052132701,0.5714285714285714,0.3076923076923077,0.4,0.8066580478345184,tfidf,-0.0003361231555242261,-0.0003916807018918668,0.015873015873015817,0.02857142857142847,-0.07692307692307687,-0.19999999999999987,-0.05454545454545445,-0.11999999999999982,0.019571670524677343,0.024865975436610614,False,True
kc1,xgb,0.8581560283687943,0.5609756097560976,0.3538461538461538,0.4339622641509434,0.7934894714224323,0.8649289099526066,0.6052631578947368,0.3538461538461538,0.4466019417475728,0.8039000215470804,tfidf,0.006772881583812285,0.0078923661431201,0.04428754813863922,0.07894736842105252,0.0,0.0,0.012639677596629373,0.029126213592232903,0.010410550124648088,0.013119959998947224,True,True
kc1,lgbm,0.8486997635933806,0.5106382978723404,0.3692307692307692,0.4285714285714285,0.7839063171465407,0.8625592417061612,0.5853658536585366,0.3692307692307692,0.4528301886792453,0.7979314802844215,tfidf,0.013859478112780543,0.01633024858413975,0.07472755578619616,0.14634146341463417,0.0,0.0,0.0242587601078168,0.056603773584905884,0.014025163137880825,0.017891376598332745,True,True
pc1,rf,0.9282511210762332,0.4,0.1333333333333333,0.2,0.7967948717948719,0.9324324324324323,0.5,0.2,0.2857142857142857,0.7826086956521738,tfidf,0.004181311356199147,0.004504504504504394,0.09999999999999998,0.24999999999999994,0.06666666666666671,0.5000000000000004,0.08571428571428569,0.42857142857142844,-0.014186176142698015,-0.01780405050893717,True,False
pc1,xgb,0.9237668161434978,0.25,0.0666666666666666,0.1052631578947368,0.7405448717948718,0.927927927927928,0.4444444444444444,0.2666666666666666,0.3333333333333333,0.7415458937198068,tfidf,0.004161111784430238,0.004504504504504578,0.19444444444444442,0.7777777777777777,0.2,3.0000000000000036,0.22807017543859653,2.166666666666668,0.0010010219249350083,0.0013517370291266937,True,True
pc1,lgbm,0.9237668161434978,0.3333333333333333,0.1333333333333333,0.1904761904761904,0.7645833333333333,0.9324324324324323,0.5,0.3333333333333333,0.4,0.7570048309178744,tfidf,0.008665616288934586,0.00938073996326414,0.16666666666666669,0.5000000000000001,0.2,1.5000000000000004,0.2095238095238096,1.1000000000000008,-0.0075785024154588765,-0.009911937764087905,True,False
