dataset_name,model,text_branch,delta_accuracy,relative_delta_accuracy,delta_precision,relative_delta_precision,delta_recall,relative_delta_recall,delta_f1,relative_delta_f1,delta_auc,relative_delta_auc
cm1,rf,tfidf,-0.0011881188118811892,-0.0013483146067415743,0.0,0.0,0.0,0.0,0.0,0.0,-0.08153846153846156,-0.13333333333333336
cm1,xgb,tfidf,-0.021188118811881207,-0.02404494382022474,-0.1666666666666667,-0.5000000000000002,-0.1,-0.5,-0.125,-0.5,-0.0956898656898657,-0.16276220145379025
cm1,lgbm,tfidf,0.008514851485148522,0.010000000000000009,-0.05555555555555561,-0.2500000000000003,-0.1,-0.5,-0.08552631578947359,-0.4062499999999997,-0.13056166056166063,-0.20103402895281078
jm1,rf,tfidf,-0.005740290034198403,-0.006834540905972141,-0.04570119802677941,-0.09247771836007128,-0.02612826603325419,-0.12941176470588253,-0.0341181819751481,-0.11901224653684012,-0.015429587415789148,-0.021284001916135793
jm1,xgb,tfidf,-0.0057391434953555365,-0.006808629148957937,-0.06974267968056791,-0.13143812709030106,0.0023752969121140083,0.01923076923076919,-0.0026241624248699025,-0.01309557979334115,0.0004236197148592691,0.0005897158282398689
jm1,lgbm,tfidf,-0.002709987872485442,-0.003214992348049635,-0.03154623154623154,-0.059829059829059825,0.0,0.0,-0.0028423609798444993,-0.013011152416357148,0.008756583309624366,0.012367645041417212
kc1,rf,tfidf,-0.0003361231555242261,-0.0003916807018918668,0.015873015873015817,0.02857142857142847,-0.07692307692307687,-0.19999999999999987,-0.05454545454545445,-0.11999999999999982,0.019571670524677343,0.024865975436610614
kc1,xgb,tfidf,0.006772881583812285,0.0078923661431201,0.04428754813863922,0.07894736842105252,0.0,0.0,0.012639677596629373,0.029126213592232903,0.010410550124648088,0.013119959998947224
kc1,lgbm,tfidf,0.013859478112780543,0.01633024858413975,0.07472755578619616,0.14634146341463417,0.0,0.0,0.0242587601078168,0.056603773584905884,0.014025163137880825,0.017891376598332745
pc1,rf,tfidf,0.004181311356199147,0.004504504504504394,0.09999999999999998,0.24999999999999994,0.06666666666666671,0.5000000000000004,0.08571428571428569,0.42857142857142844,-0.014186176142698015,-0.01780405050893717
pc1,xgb,tfidf,0.004161111784430238,0.004504504504504578,0.19444444444444442,0.7777777777777777,0.2,3.0000000000000036,0.22807017543859653,2.166666666666668,0.0010010219249350083,0.0013517370291266937
pc1,lgbm,tfidf,0.008665616288934586,0.00938073996326414,0.16666666666666669,0.5000000000000001,0.2,1.5000000000000004,0.2095238095238096,1.1000000000000008,-0.0075785024154588765,-0.009911937764087905
