dataset_name,model,auc,f1,precision,recall,accuracy,split_mode,candidate_index,params_json,model_path,rank_within_dataset
cm1,rf,0.5005555555555556,0.2857142857142857,0.5,0.2,0.9,saved_split,2,"{""max_depth"": 12, ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""n_estimators"": 300}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\rf_candidate2.joblib,1
cm1,lgbm,0.4705555555555555,0.2222222222222222,0.25,0.2,0.86,saved_split,2,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""n_estimators"": 300, ""num_leaves"": 63, ""subsample"": 0.9}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\lgbm_candidate2.joblib,2
cm1,xgb,0.4511111111111112,0.125,0.16666666666666666,0.1,0.86,saved_split,1,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate1.joblib,3
jm1,rf,0.7165270889232188,0.23247232472324722,0.5163934426229508,0.15,0.8089113458888378,saved_split,2,"{""max_depth"": 12, ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""n_estimators"": 300}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jm1\rf_candidate2.joblib,1
jm1,xgb,0.7127923679431933,0.20155038759689922,0.5416666666666666,0.12380952380952381,0.8107487367937529,saved_split,1,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jm1\xgb_candidate1.joblib,2
jm1,lgbm,0.705434723690273,0.1951219512195122,0.46017699115044247,0.12380952380952381,0.802939825447864,saved_split,1,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""n_estimators"": 200, ""num_leaves"": 31, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jm1\lgbm_candidate1.joblib,3
kc1,rf,0.82049127343245,0.4074074074074074,0.5116279069767442,0.3384615384615385,0.8483412322274881,saved_split,3,"{""max_depth"": 18, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 400}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\kc1\rf_candidate3.joblib,1
kc1,xgb,0.8137901314371904,0.37254901960784315,0.5135135135135135,0.2923076923076923,0.8483412322274881,saved_split,1,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\kc1\xgb_candidate1.joblib,2
kc1,lgbm,0.7975436328377505,0.4074074074074074,0.5116279069767442,0.3384615384615385,0.8483412322274881,saved_split,1,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""n_estimators"": 200, ""num_leaves"": 31, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\kc1\lgbm_candidate1.joblib,3
pc1,rf,0.8391304347826087,0.38095238095238093,0.6666666666666666,0.26666666666666666,0.9414414414414415,saved_split,2,"{""max_depth"": 12, ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""n_estimators"": 300}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\pc1\rf_candidate2.joblib,1
pc1,lgbm,0.7914653784219001,0.36363636363636365,0.5714285714285714,0.26666666666666666,0.9369369369369369,saved_split,1,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""n_estimators"": 200, ""num_leaves"": 31, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\pc1\lgbm_candidate1.joblib,2
pc1,xgb,0.7695652173913045,0.2222222222222222,0.6666666666666666,0.13333333333333333,0.9369369369369369,saved_split,2,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.9}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\pc1\xgb_candidate2.joblib,3
